no,id,name,city,country,iata,icao,latitude,longitude,altitude
116,6760,Kangra Airport,Kangra,India,DHM,VIGG,32.1651001,76.26339722,2525
117,6761,Nanded Airport,Nanded,India,NDC,VAND,19.18330002,77.3167038,1250
118,6762,Shimla Airport,Shimla,India,SLV,VISM,31.0818,77.068001,5072
119,7774,Mysore Airport,Mysore,India,MYQ,VOMY,12.30720043,76.64969635,2349
120,8660,Nagaur Airport,Nagaur,India,\N,VI73,27.20829964,73.71140289,950
121,10061,Pasighat Airport,Pasighat,India,IXT,VEPG,28.06609917,95.33560181,477
122,10750,HAL Airport,Bangalore,India,\N,VOBG,12.94999981,77.66819763,2912
123,11996,Ratnagiri Airport,,India,RTC,VARG,17.0135994,73.32779694,305
124,11998,Kazi Nazrul Islam Airport,Durgapur,India,RDP,VEDG,23.6225,87.243,300
125,12002,Sri Sathya Sai Airport,Puttaparthi,India,PUT,VOPN,14.14929962,77.79109955,1558
